timestamp,message
1721309262088,DB server process ID is: 5399
1721309262118,"END RequestId: 7fe36eab-87da-57e4-8399-31b89d5e1437
"
1721309262118,"REPORT RequestId: 7fe36eab-87da-57e4-8399-31b89d5e1437	Duration: 7305.12 ms	Billed Duration: 7306 ms	Memory Size: 512 MB	Max Memory Used: 122 MB	Init Duration: 456.76 ms	
"
1721309262125,"START RequestId: e0a00002-ca74-50d8-8a9b-5f11d0ff830b Version: $LATEST
"
1721309262126,EVENT TYPE: class com.amazonaws.services.lambda.runtime.events.SQSEvent
1721309262311,Connected to the PostgreSQL server successfully.
1721309267314,DB server process ID is: 5414
1721309267317,"END RequestId: e0a00002-ca74-50d8-8a9b-5f11d0ff830b
"
1721309267317,"REPORT RequestId: e0a00002-ca74-50d8-8a9b-5f11d0ff830b	Duration: 5191.34 ms	Billed Duration: 5192 ms	Memory Size: 512 MB	Max Memory Used: 122 MB	
"
1721309267339,"START RequestId: a5f6da5f-209e-5c6e-9ed3-854c3a148ffb Version: $LATEST
"
1721309267340,EVENT TYPE: class com.amazonaws.services.lambda.runtime.events.SQSEvent
1721309267486,Connected to the PostgreSQL server successfully.
1721309272489,DB server process ID is: 5423
1721309272492,"END RequestId: a5f6da5f-209e-5c6e-9ed3-854c3a148ffb
"
1721309272492,"REPORT RequestId: a5f6da5f-209e-5c6e-9ed3-854c3a148ffb	Duration: 5152.62 ms	Billed Duration: 5153 ms	Memory Size: 512 MB	Max Memory Used: 123 MB	
"
1721309290041,"START RequestId: da820a96-5102-5cc6-af84-55854ba24103 Version: $LATEST
"
1721309290042,EVENT TYPE: class com.amazonaws.services.lambda.runtime.events.SQSEvent
1721309290165,Connected to the PostgreSQL server successfully.
1721309295170,DB server process ID is: 5436
1721309295174,"END RequestId: da820a96-5102-5cc6-af84-55854ba24103
"
1721309295174,"REPORT RequestId: da820a96-5102-5cc6-af84-55854ba24103	Duration: 5132.63 ms	Billed Duration: 5133 ms	Memory Size: 512 MB	Max Memory Used: 123 MB	
"
1721309295177,"START RequestId: 41daefb8-dc4a-528c-9e9c-b0abc6e7f466 Version: $LATEST
"
1721309295178,EVENT TYPE: class com.amazonaws.services.lambda.runtime.events.SQSEvent
1721309295363,Connected to the PostgreSQL server successfully.
1721309300366,DB server process ID is: 5456
1721309300368,"END RequestId: 41daefb8-dc4a-528c-9e9c-b0abc6e7f466
"
1721309300368,"REPORT RequestId: 41daefb8-dc4a-528c-9e9c-b0abc6e7f466	Duration: 5190.75 ms	Billed Duration: 5191 ms	Memory Size: 512 MB	Max Memory Used: 123 MB	
"
